Name	Coef.	Std. Error	t	Pr(>|t|)	Lower 95%	Upper 95%
(Intercept)	-6661.995007006331	59269.38339594379	-0.11240196245170078	0.910505990723091	-122835.90019357072	109511.91017955805
scotland	-24998.03652272615	15305.932464850748	-1.6332253248949582	0.10243963507851161	-54999.19133624526	5003.118290792958
wales	-15207.747681467015	18923.476280976734	-0.8036445025037476	0.42161324758490726	-52299.64932282682	21884.153959892792
london	15328.771295656337	16859.074140495544	0.9092297221017959	0.3632414207218375	-17716.69617018587	48374.23876149855
detatched	73081.63066285908	28454.01896241778	2.5684115400142837	0.01022480958445433	17308.914435430706	128854.34689028746
semi	7712.69328311244	28012.803583296096	0.27532743233567253	0.7830679466089185	-47195.19677802171	62620.583344246596
terraced	17131.338901085106	28006.536929507507	0.6116907257832238	0.5407503584394637	-37764.267893354525	72026.94569552473
purpose_build_flat	28094.76121036591	29353.846295957523	0.9571066403735646	0.3385266758977685	-29441.70637301262	85631.22879374443
owner	76748.63887702953	13216.088163614344	5.807212991233578	6.462369509597733e-9	50843.78741265468	102653.49034140438
mortgaged	-64631.64387724592	13827.16221385021	-4.674252234670868	2.97229618168934e-6	-91734.26145131391	-37529.02630317793
female	-18585.69064410895	9121.48600943642	-2.0375726745490326	0.04160772230872658	-36464.71333853707	-706.667949680832
employee	-68191.46550672741	16410.70001210386	-4.1553051031602655	3.263996797562896e-5	-100358.07494342656	-36024.85607002827
selfemp	-51312.230508699366	19678.099813992972	-2.6075805587799468	0.009126213884518836	-89883.269568961	-12741.191448437741
unemployed	30827.200878821346	45738.41314667196	0.6739892960423881	0.5003270357388364	-58824.65253744055	120479.05429508323
student	14785.768503046376	88499.27110754642	0.16707220656177335	0.867315168132416	-158681.6330733259	188253.1700794187
inactive	50136.39697890997	31836.810188583502	1.5747933502737845	0.11532225850630287	-12266.927577091192	112539.72153491114
sick	-691.165602575859	26036.903751223388	-0.026545614224325095	0.9788224546967411	-51726.09484318167	50343.76363802996
age_25_34	-32689.54004268183	53147.47017188548	-0.6150723625594938	0.538514943904411	-136863.884483001	71484.80439763734
age_35_44	-33163.08164256914	52392.079536797886	-0.6329789146711928	0.5267556971002669	-135856.78506738736	69530.6217822491
age_45_54	-33833.67468489791	51722.00753900631	-0.6541446532094127	0.5130272256013451	-135213.97013616638	67546.62076637056
age_55_64	4309.065798078957	51763.216650799455	0.08324571147014308	0.93365712005945	-97152.00362403206	105770.13522018997
age_65_74	12940.989886440002	53162.27482159636	0.24342430661343564	0.8076795740103438	-91262.37314447833	117144.35291735834
age_75_plus	7714.451663097051	53929.10825920886	0.14304801084449126	0.8862539135481635	-97991.98141800133	113420.88474419543
weekly_gross_income	222.53111114030716	5.131728973017954	43.36376926964584	0.0	212.47241032386955	232.58981195674477
managerial	22168.7095562864	10853.066350444446	2.042621766094572	0.04110487241178854	895.6166213206998	43441.80249125211
intermediate	25236.657481197726	12918.56064658432	1.9535192945717466	0.05077403045954306	-85.01036334878154	50558.325325744234
num_adults	-43702.24168103634	5957.437606029046	-7.335744756572658	2.301518444816059e-13	-55379.4138050348	-32025.069557037892
num_children	-14506.847188547197	6847.671069935908	-2.1185081818894926	0.03414612806641656	-27928.965726766324	-1084.7286503280702
