Name	Coef.	Std. Error	t	Pr(>|t|)	Lower 95%	Upper 95%
(Intercept)	-183677.06718968184	70463.92615884442	-2.606682272793385	0.009152696626401132	-321796.4961340234	-45557.63824534029
scotland	15933.360985214573	18015.931183873992	0.8844039657232082	0.3764942999055002	-19380.455071640223	51247.17704206937
wales	23656.10518643158	19635.33242504145	1.2047723295105681	0.22831281585496632	-14831.970195082387	62144.18056794555
london	450603.14136887377	19107.236527961293	23.58285253387986	1.766016058494546e-120	413150.2098930249	488056.07284472266
north_west	33134.451246218734	16996.987670801645	1.949430798443121	0.05126515885706049	-182.08898704886087	66450.99147948633
yorkshire	35173.886304838124	17475.951490279294	2.012702216780758	0.04416624522895837	918.5081038688077	69429.26450580744
east_midlands	31275.517037530502	17777.89288264027	1.7592364429234677	0.07856053364020618	-3571.709715754012	66122.74379081502
west_midlands	71310.36644191465	17687.94877313836	4.031579204379509	5.571472773240106e-5	36639.44307844277	105981.28980538654
east_of_england	167367.1477788685	17233.57116953376	9.71169272650507	3.190701228812386e-22	133586.8698641542	201147.4256935828
south_east	260163.5750923389	16593.95323716943	15.678215514648347	6.665832218538382e-55	227637.04031083538	292690.10987384245
south_west	144946.634176893	17246.53624034755	8.404391012602082	4.738290618479172e-17	111140.9428588298	178752.32549495623
detatched	148424.33137866078	24470.852282299853	6.065351940603164	1.3526504675223305e-9	100457.94166325663	196390.72109406494
semi	9611.161940346556	24441.515965921608	0.3932310071825019	0.6941552241093487	-38297.72437599409	57520.048256687194
terraced	-7961.179131572984	24647.531929065342	-0.32300106779392573	0.7466995523291486	-56273.88636357885	40351.52810043288
purpose_build_flat	-56072.23192054996	27028.17170800646	-2.0745847157667674	0.038044382001371065	-109051.3354877288	-3093.128353371125
employee	-27497.089839108186	11367.011505021519	-2.419025425192981	0.01557559131205185	-49778.0671201374	-5216.112558078974
selfemp	108137.97782031886	13519.305219751148	7.998782190547317	1.3608341326625851e-15	81638.1953292476	134637.76031139013
unemployed	101512.77900111978	46976.68376497459	2.160918371952148	0.03071958336338794	9431.722934350968	193593.8350678886
student	252736.46613974407	102656.5943530493	2.461960361460567	0.013830687445669532	51514.77779028789	453958.1544892002
inactive	199094.7347398557	29129.59252546609	6.83479298812025	8.573237238083486e-12	141996.54415750003	256192.92532221135
sick	89.07202474430585	29634.722494859467	0.0030056642089277726	0.9976018759874082	-57999.24594219692	58177.38999168552
female	6149.646585751522	6771.363994871337	0.9081843171345232	0.36379743727941294	-7123.200658632598	19422.49383013564
owner	126000.74668811812	9176.8940928495	13.7302169354113	1.3135042503215639e-42	108012.71450368129	143988.77887255495
age_25_34	-37360.50151374893	65338.334413650984	-0.5718006412165795	0.5674667845439746	-165433.03350755645	90712.03048005857
age_35_44	-32077.41086080662	64583.68206691333	-0.4966798088032844	0.6194231387292273	-158670.71572571495	94515.8940041017
age_45_54	31409.28671570075	64001.69214274629	0.4907571294466245	0.6236063971008798	-94043.23419975655	156861.80763115804
age_55_64	100660.4230592309	63984.60935686128	1.5731974309293295	0.11569708921426328	-24758.613139154317	226079.45925761614
age_65_74	125891.03178396862	64535.36281569442	1.9507294340856027	0.051110382219078494	-607.56039958373	252389.62396752095
age_75_plus	96839.47361798568	64850.74133496856	1.4932670255500733	0.13539121698795936	-30277.305819073663	223956.25305504503
weekly_gross_income	152.8222660992165	3.441455107615902	44.4062936520725	0.0	146.07651916013776	159.56801303829525
managerial	63185.97871744182	7952.230691802402	7.945692368127275	2.0870383685444786e-15	47598.46292234656	78773.49451253709
intermediate	64598.55733925321	9735.634593302653	6.635269300646504	3.365567077214341e-11	45515.31341942858	83681.80125907784
num_adults	1500.535203049082	4425.71813334802	0.3390489764231639	0.7345782312768311	-7174.508816903247	10175.57922300141
num_children	6299.6814935275615	5451.256038443287	1.1556385260756452	0.24784997073759546	-4385.564306740347	16984.92729379547
