Name	Coef.	Std. Error	t	Pr(>|t|)	Lower 95%	Upper 95%
(Intercept)	-64914.30107928894	105323.44463703455	-0.6163328715937508	0.5376841377207172	-271361.00514797756	141532.40298939968
scotland	87861.58984119048	24069.80072391745	3.6502832262289986	0.0002628350844769867	40681.86604685862	135041.31363552233
wales	53685.06254068355	29698.923089529857	1.8076434077708978	0.07068190602634258	-4528.422665315906	111898.547746683
london	5201.742198427616	26700.48895546549	0.19481823749009805	0.8455378650356886	-47134.44905390469	57537.93345075992
south_east	37022.29509123534	19416.23639236598	1.9067698982997374	0.056569348246349155	-1035.8791589165048	75080.46934138719
south_west	3749.7400349772042	21584.812595528867	0.17372122265976656	0.8620868862395916	-38559.10614493934	46058.58621489375
detatched	140736.08638938263	46335.06760143211	3.0373558014412567	0.0023907087670833617	49913.74363292505	231558.42914584023
semi	37121.27308013242	45937.879634861645	0.8080754570126389	0.41905987342834483	-52922.53317026235	127165.0793305272
terraced	25213.701354743545	45990.74869279275	0.5482342008208012	0.5835392046998826	-64933.73465059047	115361.13736007757
purpose_build_flat	11485.227561461828	48689.38618570631	0.2358877049231221	0.8135230078788531	-83951.86468145686	106922.31980438052
female	-62318.230461402505	14034.175081658113	-4.440462663377271	9.040267374946571e-6	-89826.91288169305	-34809.548041111964
owner	156070.41244805403	21414.028252843	7.288232302921968	3.296022347699375e-13	114096.32425839826	198044.5006377098
mortgaged	32414.491096429654	21347.734079402628	1.51840429414496	0.12893344262158452	-9429.652486373507	74258.63467923281
age_25_34	-57137.19175641284	95950.84267266547	-0.5954840016500461	0.5515289131860773	-245212.46113874164	130938.07762591598
age_35_44	-18581.07054175302	94738.98438420806	-0.19612908732902015	0.8445117688751995	-204280.95094670326	167118.8098631972
age_45_54	145590.32906714277	93708.7810929091	1.5536465992743502	0.12028969197408394	-38090.22814967658	329270.8862839621
age_55_64	336496.4705542478	93773.26349995569	3.5884052446826358	0.0003337596776469017	152689.52001207662	520303.421096419
age_65_74	195700.69134630854	95593.15377440977	2.0472249697728615	0.040653267080898954	8326.535513591865	383074.8471790252
age_75_plus	-114996.87779603123	96669.51499310374	-1.1895878220164333	0.23422713643794774	-304480.8319433825	74487.07635132007
employee	-152411.77431951053	24597.049249534502	-6.19634382861574	5.9289390257021e-10	-200624.9690633905	-104198.57957563055
selfemp	-243301.6954970395	29971.520693492133	-8.117762791724774	5.112465922743251e-16	-302049.50501296803	-184553.885981111
unemployed	-86121.90163351357	79252.20074057585	-1.0866815158285004	0.2771949296219006	-241465.81095461902	69222.00768759189
student	50303.9005302613	160441.5684232833	0.31353408611381534	0.7538792583641093	-264180.9998710214	364788.800931544
inactive	-74803.27644483026	56077.17404972284	-1.333934487827494	0.18224544328885775	-184721.32741579812	35114.7745261376
sick	-194177.95227094888	48842.90813541214	-3.9755608272261287	7.054045889353923e-5	-289915.96612375404	-98439.9384181437
weekly_gross_income	191.43107630179168	7.45977905204077	25.661762227317165	3.420480022860306e-142	176.80900612851002	206.05314647507333
managerial	195159.88379673293	16498.881755949784	11.828673402447707	3.847062512158057e-32	162820.07786773884	227499.68972572702
intermediate	58493.799878541555	20177.084123752487	2.8990214601763284	0.0037486829470527237	18944.271951302966	98043.32780578014
num_adults	-3831.5503497638	9033.309096873885	-0.42415800330465464	0.6714566279912815	-21537.929934196494	13874.829234668896
num_children	-28336.762462914587	10662.567956865392	-2.657592671629274	0.00787837919407294	-49236.68668386294	-7436.83824196623
