data_year,hid,pid,weight,dla_prob,rec_dla,scotland
2015,1490,120150149002,796,0.04068599006382586,false,true
2015,2104,120150210404,1293,0.04068599006382586,false,true
2015,10339,120151033903,1000,0.04068599006382586,false,true
2015,16916,120151691604,693,0.04068599006382586,false,true
2015,19268,120151926804,748,0.04068599006382586,false,true
2016,3042,120160304203,676,0.04068599006382586,false,true
2016,7347,120160734702,875,0.04068599006382586,false,true
2016,16815,120161681503,700,0.04068599006382586,false,true
2016,17701,120161770103,660,0.04068599006382586,false,true
2016,18843,120161884303,691,0.04068599006382586,false,true
2017,1474,120170147403,1352,0.04068599006382586,false,true
2017,4113,120170411304,787,0.04068599006382586,false,true
2017,4113,120170411305,787,0.04068599006382586,false,true
2017,6139,120170613902,701,0.04068599006382586,false,true
2017,10693,120171069302,1016,0.04068599006382586,false,true
2017,11018,120171101802,785,0.04068599006382586,false,true
2017,12630,120171263002,741,0.04068599006382586,false,true
2017,14720,120171472004,520,0.04068599006382586,false,true
2017,14883,120171488304,698,0.04068599006382586,false,true
2018,1616,120180161603,572,0.04068599006382586,false,true
2018,2693,120180269303,820,0.04068599006382586,false,true
2018,2693,120180269304,820,0.04068599006382586,false,true
2018,6913,120180691303,837,0.04068599006382586,false,true
2018,7474,120180747402,987,0.04068599006382586,false,true
2018,8599,120180859903,785,0.04068599006382586,false,true
2018,10808,120181080803,673,0.04068599006382586,false,true
2018,10924,120181092403,932,0.04068599006382586,false,true
2018,11957,120181195703,862,0.04068599006382586,false,true
2018,12726,120181272602,1492,0.04068599006382586,false,true
2018,13009,120181300902,885,0.04068599006382586,false,true
2018,13654,120181365405,643,0.04068599006382586,false,true
2018,13905,120181390502,683,0.04068599006382586,false,true
2018,15720,120181572002,722,0.04068599006382586,false,true
2019,3213,120190321303,1372,0.04068599006382586,false,true
2019,3987,120190398704,1811,0.04068599006382586,false,true
2019,5946,120190594603,693,0.04068599006382586,false,true
2019,6823,120190682303,711,0.04068599006382586,false,true
2019,16324,120191632405,581,0.04068599006382586,false,true
2019,18445,120191844504,587,0.04068599006382586,false,true
2020,2016,120200201603,3114,0.04068599006382586,false,true
2020,2949,120200294903,2521,0.04068599006382586,false,true
2020,3131,120200313103,3598,0.04068599006382586,false,true
2020,4709,120200470902,762,0.04068599006382586,false,true
2020,4709,120200470903,762,0.04068599006382586,false,true
2020,5824,120200582402,1569,0.04068599006382586,false,true
2020,7869,120200786903,1420,0.04068599006382586,false,true
2020,9526,120200952602,3211,0.04068599006382586,false,true
2021,2580,120210258003,1599,0.04068599006382586,false,true
2021,5104,120210510403,2486,0.04068599006382586,false,true
2021,8751,120210875102,1455,0.04068599006382586,false,true
2021,15027,120211502703,923,0.04068599006382586,false,true
2015,6337,120150633703,679,0.03115040587912108,false,true
2016,5126,120160512602,718,0.03115040587912108,false,true
2016,8911,120160891103,1008,0.03115040587912108,false,true
2016,13101,120161310103,890,0.03115040587912108,false,true
2017,3382,120170338203,771,0.03115040587912108,false,true
2017,12630,120171263003,741,0.03115040587912108,false,true
2017,13902,120171390202,591,0.03115040587912108,false,true
2017,13902,120171390203,591,0.03115040587912108,false,true
