data_year	hid	pid	pno	is_hrp	from_child_record	default_benefit_unit	age	sex	ethnic_group	marital_status	highest_qualification	sic	occupational_classification	public_or_private	principal_employment_type	socio_economic_grouping	age_completed_full_time_education	years_in_full_time_work	employment_status	usual_hours_worked	actual_hours_worked	age_started_first_job	type_of_bereavement_allowance	had_children_when_bereaved	pay_includes_ssp	pay_includes_smp	pay_includes_spp	pay_includes_sap	pay_includes_mileage	pay_includes_motoring_expenses		income_wages	income_self_employment_income	income_self_employment_expenses	income_self_employment_losses	income_odd_jobs	income_private_pensions	income_national_savings	income_bank_interest	income_stocks_shares	income_individual_savings_account	income_dividends	income_property	income_royalties	income_bonds_and_gilts	income_other_investment_income	income_other_income	income_alimony_and_child_support_received	income_health_insurance	income_alimony_and_child_support_paid	income_care_insurance	income_trade_unions_etc	income_friendly_societies	income_work_expenses	income_avcs	income_other_deductions	income_loan_repayments	income_student_loan_repayments	income_pension_contributions_employee	income_pension_contributions_employer	income_education_allowances	income_foster_care_payments	income_student_grants	income_student_loans	income_income_tax	income_national_insurance	income_local_taxes	income_free_school_meals	income_dlaself_care	income_dlamobility	income_child_benefit	income_pension_credit	income_state_pension	income_bereavement_allowance_or_widowed_parents_allowance_or_bereavement	income_armed_forces_compensation_scheme	income_war_widows_or_widowers_pension	income_severe_disability_allowance	income_attendance_allowance	income_carers_allowance	income_jobseekers_allowance	income_industrial_injury_disablement_benefit	income_employment_and_support_allowance	income_incapacity_benefit	income_income_support	income_maternity_allowance	income_maternity_grant_from_social_fund	income_funeral_grant_from_social_fund	income_any_other_ni_or_state_benefit	income_trade_union_sick_or_strike_pay	income_friendly_society_benefits	income_private_sickness_scheme_benefits	income_accident_insurance_scheme_benefits	income_hospital_savings_scheme_benefits	income_government_training_allowances	income_guardians_allowance	income_widows_payment	income_unemployment_or_redundancy_insurance	income_winter_fuel_payments	income_dwp_third_party_payments_is_or_pc	income_dwp_third_party_payments_jsa_or_esa	income_social_fund_loan_repayment_from_is_or_pc	income_social_fund_loan_repayment_from_jsa_or_esa	income_extended_hb	income_permanent_health_insurance	income_any_other_sickness_insurance	income_critical_illness_cover	income_working_tax_credit	income_child_tax_credit	income_working_tax_credit_lump_sum	income_child_tax_credit_lump_sum	income_housing_benefit	income_universal_credit	income_personal_independence_payment_daily_living	income_personal_independence_payment_mobility	income_a_loan_from_the_dwp_and_dfc	income_a_loan_or_grant_from_local_authority	income_social_fund_loan_uc	income_other_benefits	asset_current_account	asset_nsb_ordinary_account	asset_nsb_investment_account	asset_not_used	asset_savings_investments_etc	asset_government_gilt_edged_stock	asset_unit_or_investment_trusts	asset_stocks_shares_bonds_etc	asset_pep	asset_national_savings_capital_bonds	asset_index_linked_national_savings_certificates	asset_fixed_interest_national_savings_certificates	asset_pensioners_guaranteed_bonds	asset_saye	asset_premium_bonds	asset_national_savings_income_bonds	asset_national_savings_deposit_bonds	asset_first_option_bonds	asset_yearly_plan	asset_isa	asset_fixd_rate_svngs_bonds_or_grntd_incm_bonds_or_grntd_growth_bonds	asset_geb	asset_basic_account	asset_credit_unions	asset_endowment_policy_not_linked	contracted_out_of_serps	registered_blind	registered_partially_sighted	registered_deaf	disability_vision	disability_hearing	disability_mobility	disability_dexterity	disability_learning	disability_memory	disability_mental_health	disability_stamina	disability_socially	disability_other_difficulty	health_status	has_long_standing_illness	adls_are_reduced	how_long_adls_reduced	is_informal_carer	receives_informal_care_from_non_householder	hours_of_care_received	hours_of_care_given	hours_of_childcare	cost_of_childcare	childcare_type	employer_provides_child_care	relationship_to_hoh	relationship_1	relationship_2	relationship_3	relationship_4	relationship_5	relationship_6	relationship_7	relationship_8	relationship_9	relationship_10	relationship_11	relationship_12	relationship_13	relationship_14	relationship_15	company_car_fuel_type	company_car_value	company_car_contribution		fuel_supplied	jsa_type	esa_type	dlaself_care_type	dlamobility_type	attendance_allowance_type	personal_independence_payment_daily_living_type	personal_independence_payment_mobility_type,onerand
2019	1	320190000103	3	0	1	1	2	1																								0														2	30																					0																																																																													0	0	0	0	0	0	0	0	0	0	0	0		1	-1	-1	-1	0				0	0			3	3	11	0	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	"3230766960183490047197784743142004511618383978936882981727646"
2019	1	320190000104	4	0	1	1	5	2																								0														1	0																					9.95																																																																													0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	-1	-1	0				25	0	13	0	3	3	11	11	0	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	"1295878961283664514559121513801135450393487223426803437476004"
2019	9	320190000903	3	0	1	1	17	1																	0	0	0	0	0	0	0	0														2	30																					0																																																																													0	0	0	0	0	0	0	0	0	0	0	0		1	-1	-1	-1	0				0	0			3	3	11	0	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	"2720034532733753260267154133326880113596083285772624102286528"
2019	9	320190000904	4	0	1	1	7	2																	0	0	0	0	0	0	0	0														1	0																					9.95																																																																													0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	-1	-1	0				25	0	13	0	3	3	11	11	0	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	"2703315214001739852951691909538040949575540008595637666318673"
2019	1	320190000101	1	1	0	1	29	1	1	2	11	84	3000	2	1	6	21	8	1	46	46	22			0	0	0	0	0	0	0	611.4672131147	0	0	0	0	0	0	0.2868852459	0	0		0	0	0	0.1912568306	0	0	0		0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0		0	0	0	0	0	0	0	0	0	0	0	0		1	-1	-1	-1	0		0	0					2	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	"4560977886288305147889402321918226346562492382971320834764678"
2019	1	320190000102	2	1	0	1	28	2	1	2	3	84	3000	2	1	6	20	8	1	46	46	21			0	0	0	0	0	0	0	642.6229508197	0	0	0	0	0	0	0.2868852459	0	0		0	0	0	0.1912568306	0	0	0		0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	0		0	0	0	0	0	0	0	0	0	0	0	0		1	-1	-1	-1	0		0	0					0	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	"8429438569187020436740582777301155383466577182199065528315571"
2019	2	320190000201	1	0	0	1	67	1	1	3	-1	49	9000	-1	-1	13	16	14	6	0	0	17			0	0	0	0	0	0	0	0	0	0	0	0	96.4278688524	0	0	0	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0									82.3	0	0	27.44	142.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	114.7540983607	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	1	0		3	-1	-1	-1	0		0	0					0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	"7218915881666672848187530655024612825856705597982252237134053"
2019	9	320190000901	1	1	0	1	42	2	1	6	70	90	3000	-1	-1	4	18	10	5	0	0	19			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0									0	0	48.1	0	0	0	0	0	0	0	0	0	0	0	0	55.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	5	0	0	0	0	0	0	168	0	0	103	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0		1	-1	-1	-1	0		0	0					0	0	7	7	7	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	"2328167508554495756098257471586936225987802097628492602836149"
2019	9	320190000902	2	0	0	2	21	2	1	3	14	88	6000	2	4	9	17	4	5	0	0	18			0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0		1	-1	-1	-1	0		0	0					3	3	0	11	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	"7869099744626890675673697254433089409117078085040063804037634"
2019	101	320190010101	1	1	0	1	21	2	1	3	14	88	6000	2	4	9	17	4	5	0	0	18			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0		1	-1	-1	-1	0		0	0					3	3	0	11	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	"9310874031872465863929101613690173734909971998244251273222444"
2019	102	320190010201	1	1	0	1	23	1	1	1	14	88	6000	2	4	9	17	4	5	0	0	18			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0		1	-1	-1	-1	0		0	0					0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	"8168943066913983731257623613975007552341880076613885103175481"
2019	102	320190010202	2	0	0	1	22	2	1	1	14	88	6000	2	4	9	17	4	5	0	0	18			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0		1	-1	-1	-1	0		0	0					1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	"2711821346716235149933704002267319791570591850688664424284129"
2019	103	320190010303	3	1	1	1	18	1																	0	0	1	0	0	0	0	0														2	30																					0																																																																													0	0	0	0	0	0	0	0	0	0	0	0		1	-1	-1	-1	0				0	0			3	7	0	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	"7230384251729876792227228790628626507885524973462709195463937"
2019	103	320190010302	2	0	1	1	8	2																	0	1	0	0	0	0	0	0														1	0																					9.95																																																																													0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	-1	-1	0				25	0	13	0	3	7	11	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	"717733460607113319485120359121602617391776415577459852996933"
2019	103	320190010301	1	0	0	1	49	1	1	2	11	84	3000	2	1	6	21	8	1	46	46	22			1	0	0	0	0	0	0	611.4672131147	0	0	0	0	0	0	0.2868852459	0	0		0	0	0	0.1912568306	0	0	0		0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0		0	0	0	0	0	0	0	0	0	0	0	0		1	-1	-1	-1	0		0	0					0	0	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	"973406639399937690187345965347937423178170183849450617504307"
