AVERAGE COUNCIL TAX PER DWELLING 1996-97 TO 2020-21																									
																									
													Council Tax Freeze								Council Tax Freeze				
	1996-97	1997-98	1998-99	1999-00	2000-01	2001-02	2002-03	2003-04	2004-05	2005-06	2006-07	2007-08	2008-09	2009-10	2010-11	2011-12	2012-13	2013-14	2014-15	2015-16	2016-17	2017-18	2018-19	2019-20	2020-21
Scotland	£589	£651	£688	£707	£739	£777	£814	£848	£887	£925	£958	£980	£983	£987	£985	£984	£985	£988	£989	£991	£997	£1,069	£1,106	£1,147	£1,201
Aberdeen City 	£562	£617	£687	£713	£755	£802	£843	£876	£951	£996	£1,027	£1,062	£1,064	£1,066	£1,065	£1,068	£1,074	£1,090	£1,084	£1,090	£1,110	£1,187	£1,181	£1,215	£1,258
Aberdeenshire	£547	£596	£646	£681	£735	£803	£875	£921	£968	£1,026	£1,073	£1,114	£1,122	£1,111	£1,109	£1,106	£1,107	£1,117	£1,118	£1,136	£1,159	£1,269	£1,301	£1,329	£1,372
Angus	£538	£550	£572	£592	£621	£661	£709	£751	£794	£840	£873	£877	£880	£883	£883	£885	£885	£887	£890	£893	£895	£955	£985	£1,015	£1,044
Argyll & Bute	£598	£709	£777	£775	£820	£857	£875	£894	£927	£964	£1,006	£1,025	£1,016	£1,038	£1,035	£1,032	£1,037	£1,036	£1,042	£1,037	£1,038	£1,071	£1,166	£1,223	£1,282
City of Edinburgh	£755	£772	£794	£805	£846	£882	£920	£961	£1,006	£1,044	£1,060	£1,086	£1,087	£1,100	£1,101	£1,092	£1,098	£1,102	£1,098	£1,099	£1,100	£1,217	£1,275	£1,308	£1,361
Clackmannanshire	£557	£603	£666	£697	£734	£766	£788	£802	£843	£893	£956	£953	£969	£968	£966	£958	£958	£962	£963	£962	£973	£1,045	£1,076	£1,122	£1,152
Dumfries & Galloway	£501	£601	£612	£645	£682	£720	£754	£780	£807	£828	£856	£885	£887	£889	£891	£892	£893	£893	£894	£894	£894	£957	£982	£1,032	£1,075
Dundee City 	£571	£658	£705	£743	£751	£754	£777	£786	£822	£860	£895	£894	£893	£892	£892	£888	£900	£901	£900	£911	£918	£963	£988	£1,020	£1,076
East Ayrshire	£533	£582	£613	£640	£661	£690	£724	£762	£796	£839	£883	£905	£913	£921	£920	£920	£920	£922	£923	£924	£924	£985	£1,020	£1,088	£1,133
East Dunbartonshire	£728	£838	£859	£902	£900	£944	£994	£1,057	£1,130	£1,176	£1,208	£1,230	£1,234	£1,238	£1,237	£1,239	£1,240	£1,240	£1,245	£1,235	£1,240	£1,391	£1,440	£1,505	£1,566
East Lothian	£620	£670	£706	£732	£796	£845	£888	£921	£975	£1,004	£1,031	£1,057	£1,064	£1,077	£1,079	£1,088	£1,081	£1,078	£1,085	£1,092	£1,091	£1,204	£1,240	£1,313	£1,384
East Renfrewshire	£681	£748	£800	£840	£892	£946	£1,001	£1,059	£1,106	£1,162	£1,221	£1,247	£1,246	£1,248	£1,242	£1,239	£1,233	£1,231	£1,235	£1,241	£1,244	£1,405	£1,459	£1,502	£1,578
Falkirk	£486	£529	£537	£559	£591	£636	£673	£700	£756	£808	£854	£879	£885	£884	£883	£882	£882	£882	£886	£883	£891	£958	£1,004	£1,036	£1,081
