code,name,hhlds_2022,pop_2022,ppl_per_hh
S12000033,Aberdeen City,109300,217506.248062182,1.99
S12000034,Aberdeenshire,114079,262381.14080514,2.30
S12000041,Angus,54621,114156.88020187,2.09
S12000035,Argyll and Bute,41608,80719.0826637824,1.94
S12000036,City of Edinburgh,246540,510338.71567692,2.07
S12000005,Clackmannanshire,24138,50207.4351362688,2.08
S12000006,Dumfries and Galloway,69930,145454.76850112,2.08
S12000042,Dundee City,71267,142533.2923658,2.00
S12000008,East Ayrshire,55757,119877.892270755,2.15
S12000045,East Dunbartonshire,46917,108377.878661514,2.31
S12000010,East Lothian,48218,107043.047962772,2.22
S12000011,East Renfrewshire,40305,96731.31004776,2.40
S12000014,Falkirk,74176,160961.791875605,2.17
S12000047,Fife,171156,362851.186322196,2.12
S12000049,Glasgow City,300830,610684.473354494,2.03
S12000017,Highland,111067,232129.570349017,2.09
S12000018,Inverclyde,37340,75054.233855937,2.01
S12000019,Midlothian,41685,95457.677123499,2.29
S12000020,Moray,43669,93452.547446444,2.14
S12000013,Na h-Eileanan Siar,12775,25805.0943323284,2.02
S12000021,North Ayrshire,64257,132368.43888895,2.06
S12000050,North Lanarkshire,154607,338589.174532338,2.19
S12000023,Orkney Islands,10774,22086.688320207,2.05
S12000048,Perth and Kinross,70140,148697.806740724,2.12
S12000038,Renfrewshire,88474,176948.7398726,2.00
S12000026,Scottish Borders,55465,114811.766718624,2.07
S12000027,Shetland Islands,10566,22716.6473761395,2.15
S12000028,South Ayrshire,52978,110195.144361328,2.08
S12000029,South Lanarkshire,149931,319353.1540299,2.13
S12000030,Stirling,40765,91314.699312928,2.24
S12000039,West Dunbartonshire,43223,87742.135177452,2.03
S12000040,West Lothian,81415,184812.181227565,2.27
