Code,name,SHS_ID
S12000033,Aberdeen City,A
S12000034,Aberdeenshire,B
S12000041,Angus,C
S12000035,Argyll and Bute,D
S12000036,City of Edinburgh,M
S12000005,Clackmannanshire,F
S12000006,Dumfries and Galloway,G
S12000042,Dundee City,H
S12000008,East Ayrshire,I
S12000045,East Dunbartonshire,J
S12000010,East Lothian,K
S12000011,East Renfrewshire,L
S12000014,Falkirk,N
S12000047,Fife,O
S12000049,Glasgow City,P
S12000017,Highland,Q
S12000018,Inverclyde,R
S12000019,Midlothian,S
S12000020,Moray,T
S12000013,Na h-Eileanan Siar,6
S12000021,North Ayrshire,U
S12000050,North Lanarkshire,V
S12000023,Orkney Islands,W
S12000048,Perth and Kinross,X
S12000038,Renfrewshire,Y
S12000026,Scottish Borders,E
S12000027,Shetland Islands,Z
S12000028,South Ayrshire,1
S12000029,South Lanarkshire,2
S12000030,Stirling,3
S12000039,West Dunbartonshire,4
S12000040,West Lothian,5
