"datayear"	"uniqidnew"	"shelter_1"	"shelter_2"	"shelter_3"	"tenure_1"	"tenure_2"	"tenure_3"	"singlepar_1"	"singlepar_2"	"singlepar_3"	"numadults_1"	"numadults_2"	"numadults_3"	"numkids_1"	"numkids_2"	"numkids_3"	"acctype_1"	"acctype_2"	"acctype_3"	"agehigh_1"	"agehigh_2"	"agehigh_3"	"empstathigh_1"	"empstathigh_2"	"empstathigh_3"	"ethnichigh_1"	"ethnichigh_2"	"ethnichigh_3"	"sochigh_1"	"sochigh_2"	"sochigh_3"	"datayear_1"	"datayear_2"	"datayear_3"
16	"114.86"	0	0	0	2	1	1	0	0	0	2	2	1	0	0	0	2	1	1	54	10	2	1	1	1	1	1	1	2	1	1	16	1	1
16	"171.51"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	4	2	2	77	15	3	5	3	3	1	1	1	0	0	1	16	1	1
16	"213.75"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	1	1	1	76	15	3	5	3	3	1	1	1	0	0	1	16	1	1
16	"265.95"	0	0	0	5	2	2	0	0	0	2	2	1	0	0	0	4	2	2	23	4	1	1	1	1	1	1	1	2	1	1	16	1	1
16	"322.29"	0	0	0	2	1	1	0	0	0	2	2	1	0	0	0	2	1	1	51	10	2	3	2	1	1	1	1	5	3	1	16	1	1
16	"456.68"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	4	2	2	74	14	3	5	3	3	1	1	1	0	0	1	16	1	1
16	"812.34"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	2	1	1	52	10	2	1	1	1	1	1	1	3	2	1	16	1	1
16	"853.78"	0	0	0	3	2	2	1	1	1	1	1	-888	0	0	0	4	2	2	35	7	1	7	5	3	1	1	1	6	4	1	16	1	1
16	"860.01"	0	0	0	2	1	1	0	0	0	3	3	2	1	1	1	1	1	1	55	11	2	1	1	1	1	1	1	3	2	1	16	1	1
16	"1153.39"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	2	1	1	68	13	3	5	3	3	1	1	1	8	3	1	16	1	1
16	"1409.27"	0	0	0	2	1	1	0	0	0	3	3	2	1	1	1	1	1	1	49	9	2	1	1	1	1	1	1	5	3	1	16	1	1
16	"1533.77"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	4	2	2	43	8	2	1	1	1	1	1	1	9	4	1	16	1	1
16	"1785.84"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	2	1	1	59	11	2	5	3	3	1	1	1	3	2	1	16	1	1
16	"1819.06"	0	0	0	5	2	2	0	0	0	2	2	1	0	0	0	4	2	2	31	6	1	1	1	1	1	1	1	5	3	1	16	1	1
16	"1950.96"	0	0	0	2	1	1	1	1	1	1	1	-888	2	2	1	3	1	1	39	7	1	2	1	1	1	1	1	6	4	1	16	1	1
16	"2023.38"	0	0	0	5	2	2	0	0	0	1	1	-888	0	0	0	4	2	2	27	5	1	1	1	1	1	1	1	4	2	1	16	1	1
16	"2161.55"	0	0	0	4	2	2	0	0	0	1	1	-888	0	0	0	3	1	1	42	8	2	1	1	1	1	1	1	0	0	1	16	1	1
16	"2314.04"	0	0	0	2	1	1	0	0	0	1	1	-888	0	0	0	4	2	2	54	10	2	1	1	1	1	1	1	7	2	1	16	1	1
16	"2608.24"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	3	1	1	66	13	3	5	3	3	1	1	1	0	0	1	16	1	1
16	"2678.21"	0	0	0	2	1	1	0	0	0	2	2	1	1	1	1	3	1	1	40	8	2	2	1	1	2	1	1	3	2	1	16	1	1
16	"2757.44"	0	0	0	3	2	2	0	0	0	2	2	1	2	2	1	2	1	1	28	5	1	4	5	2	1	1	1	0	0	1	16	1	1
16	"2760.97"	0	0	0	2	1	1	0	0	0	3	3	2	1	1	1	3	1	1	43	8	2	1	1	1	1	1	1	2	1	1	16	1	1
16	"2802.19"	0	0	0	5	2	2	0	0	0	1	1	-888	0	0	0	1	1	1	58	11	2	3	2	1	1	1	1	1	1	1	16	1	1
16	"2914.85"	0	0	0	2	1	1	0	0	0	2	2	1	1	1	1	2	1	1	44	8	2	1	1	1	1	1	1	5	3	1	16	1	1
16	"2937.42"	0	0	0	2	1	1	0	0	0	3	3	2	1	1	1	1	1	1	44	8	2	1	1	1	1	1	1	5	3	1	16	1	1
16	"3471.78"	0	0	0	2	1	1	0	0	0	3	3	2	0	0	0	1	1	1	56	11	2	5	3	3	1	1	1	4	2	1	16	1	1
16	"3756.71"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	4	2	2	67	13	3	5	3	3	1	1	1	9	4	1	16	1	1
16	"3817.93"	0	0	0	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	43	8	2	1	1	1	1	1	1	2	1	1	16	1	1
16	"3929.81"	0	0	0	5	2	2	0	0	0	4	3	2	0	0	0	2	1	1	43	8	2	1	1	1	1	1	1	6	4	1	16	1	1
16	"4005.88"	0	0	0	5	2	2	0	0	0	2	2	1	0	0	0	4	2	2	56	11	2	8	5	3	1	1	1	0	0	1	16	1	1
16	"4521.22"	0	0	0	5	2	2	0	0	0	1	1	-888	0	0	0	4	2	2	37	7	1	2	1	1	1	1	1	6	4	1	16	1	1
16	"4858.42"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	3	1	1	68	13	3	5	3	3	1	1	1	0	0	1	16	1	1
16	"4885.89"	0	0	0	5	2	2	0	0	0	2	2	1	3	3	1	3	1	1	36	7	1	1	1	1	1	1	1	5	3	1	16	1	1
16	"5055.55"	0	0	0	2	1	1	0	0	0	2	2	1	2	2	1	1	1	1	48	9	2	3	2	1	1	1	1	1	1	1	16	1	1
16	"5106.16"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	3	1	1	67	13	3	5	3	3	1	1	1	7	2	1	16	1	1
16	"5116.87"	0	0	0	5	2	2	0	0	0	2	2	1	0	0	0	4	2	2	29	5	1	1	1	1	1	1	1	9	4	1	16	1	1
16	"5118.78"	0	0	0	5	2	2	0	0	0	1	1	-888	0	0	0	4	2	2	48	9	2	1	1	1	1	1	1	5	3	1	16	1	1
16	"5196"	0	0	0	5	2	2	0	0	0	2	2	1	0	0	0	3	1	1	57	11	2	10	5	3	1	1	1	6	4	1	16	1	1
16	"5538.92"	0	0	0	2	1	1	0	0	0	3	3	2	0	0	0	1	1	1	52	10	2	1	1	1	2	1	1	6	4	1	16	1	1
16	"5591.64"	0	0	0	2	1	1	0	0	0	2	2	1	0	0	0	4	2	2	43	8	2	1	1	1	1	1	1	1	1	1	16	1	1
16	"5858.11"	0	0	0	4	2	2	0	0	0	1	1	-888	0	0	0	3	1	1	76	15	3	5	3	3	1	1	1	0	0	1	16	1	1
16	"6202.07"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	1	1	1	58	11	2	4	5	2	1	1	1	1	1	1	16	1	1
16	"6650.28"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	1	1	1	80	16	4	5	3	3	1	1	1	0	0	1	16	1	1
