date	cpi	actual_rents_for_housing	rpix	nom_gdp_uk_index	average_earnings_uk	mortgage_interest_payments	equity_prices	nominal_gdp	average_earnings
#						** CREATED 9/Feb/2024 from. data/prices/feb-2024/indexes_working_copy.ods			
#	Scotben Price and Income indexes	8th April 2022	Sources:			https://obr.uk/		https://www.fiscalcommission.scot/publications/scotlands-economic-and-fiscal-forecasts-december-2021/	
# Date	D7BT	D7CE	DQAD		Obr 1.6 1.18	DOBQ	EQUITY	SCOTTISH SEE SHEET 1 INDEX	
#	CPI INDEX 00: ALL ITEMS 2015=100	CPI INDEX 04.1 : ACTUAL RENTS FOR HOUSING 2015=100	RPI:all items ex. mortgage interest payments & council tax (Jan 87=100)		Average earnings index (2008Q1=100)	RPI: housing: mortgage interest payments (Jan 1987=100)	Equity prices	 Index	Nominal average hourly wage (£/hour)
#	UPDATED 8th April 2022		Source: OBR Supp Mar 2022 table 1.7		£	MM23			Scotland_s-Economic-and-Fiscal-Forecasts-August-2021-Annex-B-Charts-and-Tables.xls
#	Index, base year = 100	Index, base year = 100	Index, base year = 100			Index, base year = 100	OBR: able 1.9		 https://www.fiscalcommission.scot/publication-categories/analytical/
2008 Q1	82.9	83.4	204.1	395.4	100.0	404.5	2927	1.60362680945501	14.87
2008 Q2	84.6	84.7	208.8	395.7	98.8	393.7	2856	1.63692618592439	14.85
2008 Q3	85.7	85.0	210.8	401.1	98.8	395.7	2484	1.62744964742179	14.83
2008 Q4	85.8	85.9	210.2	401.4	98.1	357.9	2209	1.58953607602262	14.99
2009 Q1	85.4	85.8	209.0	384.8	96.9	247.2	1984	1.57829605058778	14.28
2009 Q2	86.4	86.1	211.8	378.4	99.6	213.4	2172	1.57670126263246	14.98
2009 Q3	86.9	86.7	213.6	391.1	99.9	215.5	2635	1.60416035251836	15.01
2009 Q4	87.6	86.8	216.0	394.5	100.0	218.1	2761	1.60571722589836	15.15
2010 Q1	88.2	86.8	218.5	393.0	100.3	220.2	2910	1.61045684235051	15.43
2010 Q2	89.3	87.5	222.7	393.8	99.4	223.3	2544	1.62587440678479	15.48
2010 Q3	89.6	87.7	223.6	406.9	100.3	226.8	2868	1.62658799872428	15.62
2010 Q4	90.5	88.1	226.1	414.8	100.6	228.5	3063	1.62907350354745	15.66
2011 Q1	91.8	88.4	230.1	412.3	102.7	230.3	3068	1.65487249569606	15.97
2011 Q2	93.3	89.5	234.2	404.8	101.8	232.1	3097	1.66324267568631	15.87
