date	cpi	actual_rents_for_housing	nom_gdp_uk_index	mortgage_interest_payments	average_earnings_uk	equity_prices	nominal_gdp	average_earnings
#	CPI INDEX 00: ALL ITEMS 2015=100	CPI INDEX 04.1 : ACTUAL RENTS FOR HOUSING 2015=100	Gross Domestic Product index: Current price: Seasonally adjusted		Average earnings index (2008Q1=100)	Equity prices	1.4	Nominal average hourly wage (£/hour)
#	D7BT	D7CE		OBR 1.7	£		Economic and Fiscal Outlook March 2023	UK
#					OBR TABLE 1.6 supplementary tables	OBR: able 1.9 Economy_supplementary_tables_EFO_March_2021.xlsx	NGDP	OBR 1.6
#	Index, base year = 100	Index, base year = 100						
#	21-06-2023	21-06-2023						
#	19 July 2023	19 July 2023						
2008 Q1	82.9	83.4	71.0	404.5	100.0	2927	402.2	100.0
2008 Q2	84.6	84.7	71.7	393.7	100.1	2856	396.9	100.1
2008 Q3	85.7	85	71.6	395.7	99.6	2484	398.2	99.6
2008 Q4	85.8	85.9	70.7	357.9	99.4	2209	397.3	99.4
2009 Q1	85.4	85.8	69.2	247.2	99.3	1984	390.9	99.3
2009 Q2	86.4	86.1	69.1	213.4	101.6	2172	382.3	101.6
2009 Q3	86.9	86.7	69.7	215.5	102.3	2635	387.7	102.3
2009 Q4	87.6	86.8	69.3	218.1	102.5	2761	390.9	102.5
2010 Q1	88.2	86.8	71.0	220.2	102.5	2910	400.3	102.5
2010 Q2	89.3	87.5	71.9	223.3	101.5	2544	399.2	101.5
2010 Q3	89.6	87.7	72.4	226.8	102.4	2868	403.6	102.4
2010 Q4	90.5	88.1	72.8	228.5	102.2	3063	409.2	102.2
2011 Q1	91.8	88.4	74.2	230.3	104.5	3068	418.4	104.5
2011 Q2	93.3	89.5	73.8	232.1	105.0	3097	408.8	105.0
2011 Q3	93.8	90.3	74.5	232.2	104.4	2654	414.7	104.4
2011 Q4	94.7	90.6	74.8	231.7	104.4	2858	422.2	104.4
2012 Q1	95.1	91	75.7	232.2	104.7	3003	425.6	104.7
2012 Q2	95.8	92.5	75.9	234.3	104.3	2891	422.1	104.3
2012 Q3	96.1	93.4	77.1	238.7	104.1	2999	428.7	104.1
2012 Q4	97.3	93.9	77.4	242.8	104.1	3093	436.9	104.1
2013 Q1	97.7	94	78.3	242.4	104.3	3281	439.3	104.3
2013 Q2	98.4	94.8	79.1	243.6	107.7	3290	440.1	107.7
2013 Q3	98.7	95.5	80.3	244.6	107.4	3444	446.5	107.4
2013 Q4	99.3	95.7	80.8	244.0	109.5	3610	456.4	109.5
2014 Q1	99.4	95.9	82.0	243.3	110.0	3556	463.1	110.0
2014 Q2	100.1	97	82.4	242.8	109.1	3600	460.5	109.1
2014 Q3	100.1	97.8	84.0	244.1	108.2	3534	465.7	108.2
2014 Q4	100.2	98.2	84.5	243.9	108.6	3521	473.5	108.6
2015 Q1	99.5	98.6	85.0	244.1	109.5	3664	476.2	109.5
2015 Q2	100.1	99.7	85.2	243.3	110.5	3571	476.0	110.5
2015 Q3	100.1	100.6	86.0	241.9	112.0	3336	479.6	112.0
2015 Q4	100.3	101.2	87.1	240.6	110.7	3444	489.1	110.7
2016 Q1	99.8	101.4	88.0	240.0	112.4	3292	492.8	112.4
2016 Q2	100.4	101.5	88.6	239.0	113.5	3404	494.2	113.5
2016 Q3	100.9	101.9	89.8	234.2	114.2	3677	497.4	114.2
2016 Q4	101.5	102.2	90.9	226.9	113.7	3761	515.2	113.7
2017 Q1	102	102.7	92.0	225.0	114.2	3953	516.2	114.2
2017 Q2	103.2	102.6	92.6	224.4	115.7	4046	513.4	115.7
2017 Q3	103.7	102.8	93.4	223.2	117.7	4044	519.9	117.7
2017 Q4	104.6	102.8	94.7	226.3	118.2	4106	535.6	118.2
2018 Q1	104.7	103	95.0	230.0	119.4	4049	534.1	119.4
2018 Q2	105.7	103	95.9	229.4	119.1	4155	534.0	119.1
2018 Q3	106.3	103.3	96.8	232.9	120.3	4158	537.4	120.3
2018 Q4	106.9	103.5	97.8	238.9	122.6	3837	551.9	122.6
2019 Q1	106.7	103.7	98.5	239.7	122.5	3875	554.0	122.5
2019 Q2	107.8	103.8	99.4	239.4	124.3	4026	550.7	124.3
2019 Q3	108.3	104	100.6	240.4	124.4	4028	557.9	124.4
2019 Q4	108.5	104.3	101.5	240.6	124.3	4053	575.8	124.3
2020 Q1	108.5	104.5	100.1	237.8	127.1	3806	565.0	127.1
2020 Q2	108.5	105.2	85.0	226.9	148.4	3301	474.4	148.4
2020 Q3	108.9	105.9	95.5	221.1	139.2	3373	524.3	139.2
2020 Q4	109	106.1	96.4	220.7	134.7	3501	545.8	134.7
2021 Q1	109.2	106.4	96.1	220.7	137.3	3790	540.6	137.3
2021 Q2	110.7	106.8	100.5	221.3	134.2	4000	561.0	134.2
2021 Q3	111.9	107.4	103.2	221.8	133.2	4069	569.2	133.2
2021 Q4	114.4	108.1	105.9	222.2	135.3	4129	599.5	135.3
2022 Q1	115.9	108.9	108.3	226.5	136.5	4168	608.1	136.5
2022 Q2	120.9	110.1	110.5	237.6	137.6	4115	613.9	137.6
2022 Q3	123.2	111.7	112.1	258.1	140.9	4015	626.9	140.9
2022 Q4	126.7	113	114.3	293.3	143.8	3982	633.2	143.8
2023 Q1	127.7	114	115.4	337.6	146.2	4290	630.4	146.2
