date	cpi	actual_rents_for_housing	rpix	nom_gdp_uk_index	average_earnings_uk	mortgage_interest_payments	equity_prices	nominal_gdp	average_earnings
# Date	D7BT	D7CE	DQAD	YBEU	KAB9	DOBQ	EQUITY	NGDP	
#	CPI INDEX 00: ALL ITEMS 2015=100	CPI INDEX 04.1 : ACTUAL RENTS FOR HOUSING 2015=100	RPI:all items ex. mortgage interest payments & council tax (Jan 87=100)	Gross Domestic Product index: Current price: Seasonally adjusted	AWE: Whole Economy Level (£): Seasonally Adjusted Total Pay Excluding Arrears	RPI: housing: mortgage interest payments (Jan 1987=100)	Equity prices		Nominal average hourly wage (£/hour)
#					£	MM23			Scotland_s-Economic-and-Fiscal-Forecasts-August-2021-Annex-B-Charts-and-Tables.xls
#	Index, base year = 100	Index, base year = 100	Index, base year = 100			Index, base year = 100	OBR: able 1.9 Economy_supplementary_tables_EFO_March_2021.xlsx		SFC https://www.fiscalcommission.scot/publication-categories/analytical/
2008 Q1	82.9	83.4	201.1	74.8	441	404.5	2927	30723	15.187500
2008 Q2	84.6	84.7	205.6	74.5	432	393.7	2856	31438	14.803700
2008 Q3	85.7	85	207.7	74.2	434	395.7	2484	31307	14.725160
2008 Q4	85.8	85.9	207	73.3	435	357.9	2209	31147	14.824100
2009 Q1	85.4	85.8	205.8	71.8	429	247.2	1984	30744	14.463320
2009 Q2	86.4	86.1	208.4	72	436	213.4	2172	30649	14.920900
2009 Q3	86.9	86.7	210.3	72.8	436	215.5	2635	30937	14.960470
2009 Q4	87.6	86.8	212.8	72.6	438	218.1	2761	30872	15.073320
2010 Q1	88.2	86.8	215.3	73.7	441	220.2	2910	31016	15.561660
2010 Q2	89.3	87.5	219.5	75	443	223.3	2544	31317	15.472520
2010 Q3	89.6	87.7	220.4	75.3	445	226.8	2868	31424	15.579060
2010 Q4	90.5	88.1	223	75.8	448	228.5	3063	31222	15.578230
2011 Q1	91.8	88.4	227.1	77.4	453	230.3	3068	31992	16.024360
2011 Q2	93.3	89.5	231.3	76.9	454	232.1	3097	32279	15.806200
2011 Q3	93.8	90.3	232.6	77.5	455	232.2	2654	32566	15.908740
2011 Q4	94.7	90.6	235.2	78.3	457	231.7	2858	33025	15.919570
2012 Q1	95.1	91	236.2	78.7	456	232.2	3003	33132	16.175860
2012 Q2	95.8	92.5	238.9	79.1	461	234.3	2891	33366	16.320800
2012 Q3	96.1	93.4	239.7	80.8	463	238.7	2999	33600	16.471080
2012 Q4	97.3	93.9	242.6	81.1	462	242.8	3093	34037	16.312650
2013 Q1	97.7	94	244.1	81.4	460	242.4	3281	34555	16.051020
2013 Q2	98.4	94.8	246.4	82.2	470	243.6	3290	34895	16.582610
2013 Q3	98.7	95.5	247.6	83.9	466	244.6	3444	35456	16.601320
2013 Q4	99.3	95.7	249.3	84.9	467	244	3610	35699	16.726500
2014 Q1	99.4	95.9	250.9	85.8	467	243.3	3556	36219	16.675840
2014 Q2	100.1	97	253	86.6	469	242.8	3600	36590	16.732520
2014 Q3	100.1	97.8	253.9	87.6	470	244.1	3534	36824	16.630830
2014 Q4	100.2	98.2	254.5	87.9	476	243.9	3521	36994	16.599820
2015 Q1	99.5	98.6	253.4	88.5	478	244.1	3664	36927	16.791360
2015 Q2	100.1	99.7	255.5	89.8	481	243.3	3571	36874	16.692130
2015 Q3	100.1	100.6	256.5	90	484	241.9	3336	36734	16.797240
2015 Q4	100.3	101.2	257.1	90.2	485	240.6	3444	37226	16.768700
2016 Q1	99.8	101.4	257.2	91.5	489	240	3296	37143	16.980690
2016 Q2	100.4	101.5	259.3	92.9	493	239	3405	37579	17.007160
2016 Q3	100.9	101.9	261.6	93.5	495	234.2	3678	38058	17.212090
2016 Q4	101.5	102.2	263.5	94.7	497	226.9	3763	38150	17.082120
2017 Q1	102	102.7	265.6	95.6	499	225	3952	38676	17.070350
2017 Q2	103.2	102.6	269.2	96	504	224.4	4045	38952	17.240770
2017 Q3	103.7	102.8	272.1	96.6	507	223.2	4044	39278	17.309960
2017 Q4	104.6	102.8	274.3	98.1	509	226.3	4108	39490	17.435130
2018 Q1	104.7	103	275.3	98.6	514	230	4049	40023	17.546560
2018 Q2	105.7	103	278.1	99.5	515	229.4	4153	40716	17.382080
2018 Q3	106.3	103.3	280.9	100.7	522	232.9	4158	40836	17.730380
2018 Q4	106.9	103.5	282.4	101.2	527	238.9	3832	41100	17.868790
2019 Q1	106.7	103.7	281.8	102.5	531	239.7	3871	41414	18.042500
2019 Q2	107.8	103.8	286.1	103.1	535	239.4	4026	41622	18.243530
2019 Q3	108.3	104	288	104.3	542	240.4	4028	42084	18.639740
2019 Q4	108.5	104.3	288.4	104.5	541	240.6	4050	42095	18.477930
2020 Q1	108.5	104.5	289.1	103	544	237.8	3812	41375	18.784030
2020 Q2	108.5	105.2	289.8	89.1	528	226.9	3301	35143	18.972220
2020 Q3	108.9	105.9	291.5	100.8	550	221.1	3373	39387	19.014540
2020 Q4	109	106.1	292	101.6	566	220.7	3498	40104	19.314690
2021 Q1	109.2	106.4	293.5	101.3	568	220.7	3765	40260	19.475700
2021 Q2	110.7	106.8	299.8		574	221.3	3858	41573	19.669330
