# Date	Employment (16+, millions)	Employment rate (16+, per cent)	Employees (16+, millions)	ILO unemployment (16+, millions)	ILO unemployment rate (16+, per cent)	Participation rate (16+, per cent)	Average hours worked	Total hours worked (millions)	Labour share (per cent)	Compensation of employees                    (£ billion) (a)	Wages and salaries (£ billion) (a-b)	Employers social contributions (£ billion) (b)	Mixed income (£ billion)	Average earnings growth (per cent)	Average earnings index (2008Q1=100)	Average hourly earnings index (2008Q1=100)	Productivity per hour index (2008Q1 =100)	Productivity per worker index (2008Q1 =100)	Real product wage (2008Q1 =100)	Real consumption wage (2008Q1 =100)	RPI	RPIX	CPI	Producer output prices	Mortgage interest payments	Actual rents for housing	Consumer expenditure deflator	GDP deflator	Bank Rate	3-month LIBOR	Long-term interest rates	Average mortgage rate	Trade-weighted sterling	US$/£ exchange rate	€/£ exchange rate	Oil prices ($)	Equity prices	Total compensation of employees	Gross operating surplus of private corporations	Other income	Gross value added at factor cost	Taxes on products and production less subsidies	Statistical discrepancy (income)	GDP at market prices	1.4 Nominal GDP (£ billion, non-seasonally adjusted)
Date	Employment	Employment rate	Employees	ILO unemployment	ILO unemployment rate	Participation rate	Average hours worked	Total hours worked	Labour share	Compensation of employees	Wages and salaries	Employers social contributions	Mixed income	Average earnings growth	Average earnings	Average hourly earnings	Productivity per hour	Productivity per worker	Real product wage	Real consumption wage	RPI	RPIX	CPI	Producer output prices	Mortgage interest payments	Actual rents for housing	Consumer expenditure deflator	GDP deflator	Bank Rate	three-month LIBOR	Long-term interest rates	Average mortgage rate	Trade-weighted sterling	dollar_exchange rate	euro_exchange rate	Dollar_Oil prices	Equity prices	Total compensation of employees	Gross operating surplus of private corporations	Other income	Gross value added at factor cost	Taxes on products and production less subsidies	Statistical discrepancy (income)	GDP at market prices	Nominal GDP
2008Q1	29.6835613922	60.3361405084	25.8055613922	1.6224866595	5.1826620109	63.6340797876	32.1748602708	955.0644401324	62.1342923663	200.052	166.973	33.079	23.857	3.269681836	100	100	100	100	100	100	211.1	204.1	82.9243333333	95.4	404.5	83.364	85.1571182853	87.4	5.3548	5.71888	4.5371	5.8566666667	95.8	1.9789	1.3212	96.6733333333	2927.05	200.052	85.8917966	71.0242034	356.968	42.067	0	399.035	403.452
2008Q2	29.7216973103	60.2693144574	25.8626973103	1.6801523185	5.3504883897	63.6763079196	31.7803764485	944.5667292085	62.0205512018	197.334	165.809	31.525	24.418	1.8130418649	99.0835011975	100.3134060208	100.3774765513	99.1467861834	98.4234345905	97.46472547	215.3	208.7666666667	84.5973333333	98.2	393.7	84.729	85.9947639625	87.6	5.0278	5.89264	4.8686	5.7633333333	93	1.9705	1.2615	122.4766666667	2855.69	197.334	83.4145631	72.0664369	352.815	44.26	0	397.075	390.155
2008Q3	29.5801751133	59.8555375794	25.7621751133	1.8397852979	5.8554666327	63.5783464409	31.952765594	945.1684016265	62.0994487487	197.276	165.647	31.629	24.986	0.5953048283	99.3729329873	100.0636462643	98.8755845497	98.1930721531	97.3468631111	96.6271201082	217.3666666667	210.8	85.6533333333	100	395.7	85.0446666667	87.0530636966	88.5	5	5.83854	4.7852	5.7966666667	91.6	1.8918	1.2586	115.6033333333	2483.67	197.276	82.8042733	73.2547267	353.335	41.291	0	394.626	394.171
2008Q4	29.5283288502	59.6324567765	25.7003288502	2.0031737921	6.3529284183	63.6778660233	31.815636719	939.4625836176	62.2595168716	195.523	163.959	31.564	24.763	-0.4986872601	98.5969865576	99.710224052	97.4991374588	96.4105861439	95.8590832944	95.1978090759	215.5333333333	210.1666666667	85.7586666667	98.5	357.9	85.8983333333	87.7856620387	89.2	3.3672	4.64404	4.5359	5.3866666667	83.8	1.5699	1.1957	55.8866666667	2209.29	195.523	79.8440529	73.8639471	349.231	39.829	0	389.06	392.018
2009Q1	29.366018245	59.1878015017	25.522018245	2.2347037191	7.0716856457	63.6918918771	31.4487903743	923.5257519157	61.8589405277	193.148	160.874	32.274	23.688	-2.5822921537	97.4177078463	99.6668266268	97.301606678	95.105862333	94.4173232365	95.4931636301	210.9333333333	208.9666666667	85.4166666667	97.6	247.2	85.7956666667	87.0551142074	89.3	1.0714	2.07728	4.2021	4.0833333333	77.8	1.4346	1.101	44.980530303	1984.2	193.148	85.2331107	68.2358893	346.617	36.247	0	382.864	387.211
2009Q2	29.0874820722	58.5116848479	25.2444820722	2.4483834629	7.7638061342	63.4367945982	31.6315904767	920.0833209053	63.6804908468	198.654	166.865	31.789	23.454	3.1013862852	102.1564633146	103.9109916186	97.3563889735	95.7125345807	98.3917511002	98.9972508157	212.5666666667	211.7666666667	86.3643333333	97.7	213.4	86.0716666667	87.3170561806	89.3	0.5	1.37226	4.366	3.6	81.2	1.5503	1.1389	59.1256565657	2172.1	198.654	78.7147389	66.4832611	343.851	38.606	0	382.457	376.446
2009Q3	29.0691875956	58.3489811709	25.1881875956	2.4754394635	7.8474202875	63.3177946325	31.4850306669	915.2442629098	63.5218456921	199.894	168.02	31.874	22.738	3.7440060781	103.0934616383	105.3522150936	98.1369116183	96.032854404	98.9018520319	99.9849292221	214.3666666667	213.5666666667	86.9293333333	97.8	215.5	86.675	87.1885923926	89.9	0.5	0.79856	4.2522	3.5766666667	82.9	1.6411	1.1475	68.3693672752	2634.8	199.894	80.7709151	64.9080849	345.574	39.895	0	385.469	384.483
2009Q4	29.1016541404	58.2831106817	25.1896541404	2.4526141824	7.7726859557	63.1950645919	31.4613439541	915.5771505465	64.0404582681	201.835	167.464	34.371	22.427	4.2083874167	102.7463297331	105.0765284318	98.3109279914	96.1307646391	100.0751329623	100.6603198146	216.8666666667	216.0333333333	87.5623333333	98.4	218.1	86.7513333333	87.4394342385	89.8	0.5	0.59492	4.1971	3.5733333333	80.4	1.6345	1.1058	74.9667676768	2760.8	201.835	79.1963851	64.4136149	345.445	40.978	0	386.423	389.073
2010Q1	29.0125571923	57.9753495042	25.0585571923	2.5261175029	8.009586729	63.0232514919	31.5184803828	914.4317147208	63.5286004563	201.436	165.287	36.149	22.421	4.6433874336	101.9411894505	104.0641390885	98.9373032168	96.9189430604	100.289972043	100.5681274653	219.2666666667	218.4666666667	88.2136666667	98.8	220.2	86.7676666667	87.8035415785	90.5	0.5	0.63125	4.5056	3.6666666667	79.7	1.561	1.1269	76.6532608696	2910.2	201.436	82.2809608	64.3440392	348.062	43.08	0	391.142	397.135
2010Q2	29.1919226653	58.2037315551	25.2429226653	2.4875864344	7.8523515833	63.1635560485	31.5932123946	922.2666129704	63.0033371656	203.635	167.244	36.391	21.595	0.2333213474	102.3948161512	104.2799592827	99.0568856649	97.2661637571	100.2057829881	100.009216068	223.5	222.7	89.3496666667	99.9	223.3	87.487	88.6062048762	91.2	0.5	0.69529	4.3618	3.66	80	1.4909	1.1747	78.6725901876	2543.5	203.635	80.2735204	64.7034796	348.612	48.636	0	397.248	390.716
