Date	Scotland	Wales	England
May-02	267738	199434	1954946
Aug-02	271032	202021	1978996
Nov-02	274794	204656	2006677
Feb-03	277931	206838	2029019
May-03	281622	209191	2053962
Aug-03	284305	211277	2075709
Nov-03	287062	213433	2099078
Feb-04	289380	215016	2118627
May-04	291620	216444	2133963
Aug-04	294986	218379	2156454
Nov-04	297566	220138	2176200
Feb-05	299622	220996	2189839
May-05	301628	221918	2203738
Aug-05	303687	223141	2220175
Nov-05	304122	223733	2227363
Feb-06	307342	225347	2250564
May-06	308607	226040	2262128
Aug-06	310201	226644	2275057
Nov-06	312882	228416	2301966
Feb-07	313996	228939	2315399
May-07	315631	229703	2329668
Aug-07	318517	231079	2353226
Nov-07	320727	232476	2374556
Feb-08	321814	232988	2387943
May-08	324793	234362	2411411
Aug-08	327440	235742	2433325
Nov-08	329339	236628	2450347
Feb-09	331967	237614	2471088
May-09	334709	238746	2493754
Aug-09	337247	239883	2515601
Nov-09	338977	240718	2535717
Feb-10	340572	241478	2552092
May-10	342381	242050	2569194
Aug-10	343790	242646	2585916
Nov-10	343229	242402	2591538
Feb-11	343834	242407	2601777
May-11	344356	242667	2611544
Aug-11	345707	243389	2629131
Nov-11	345559	243021	2633719
Feb-12	346945	243669	2648369
May-12	347805	243901	2661983
Aug-12	348939	244202	2674235
Nov-12	349300	244402	2684145
Feb-13	350141	244872	2699116
May-13	350782	244835	2704822
Aug-13	348976	243750	2694845
Nov-13	346056	242044	2677101
Feb-14	343147	240403	2659869
May-14	340601	238995	2647006
Aug-14	337803	236651	2630631
Nov-14	334821	230718	2608109
Feb-15	330380	222038	2571711
May-15	324706	213704	2535650
Aug-15	316097	208443	2491349
Nov-15	309594	204420	2448531
Feb-16	302682	199878	2390650
May-16	293340	190466	2319052
Aug-16	278133	174320	2216339
Nov-16	265008	162470	2103347
Feb-17	252793	154862	1994952
May-17	237431	145677	1880001
Aug-17	221612	137022	1762897
Nov-17	215132	132118	1703180
Feb-18	208580	126095	1628986
May-18	203753	0	1689724
Aug-18	194992	0	1590868
Nov-18	186577	0	1525289
Feb-19	182154	0	1493012
May-19	177291	0	1454429
Aug-19	172294	0	1404449
Nov-19	164774	0	1337502
Feb-20	156174	0	1278331
May-20	148030	0	1223245
Aug-20	146895	0	1221573
Nov-20	145586	0	1214744
Feb-21	143273	0	1200091
May-21	141394	0	1186613
Aug-21	141328	0	1190004
Nov-21	140598	0	1193738
Feb-22	138218	0	1195436
