Date,England,Wales,Scotland,Total
201304,30,0,0,30
201305,243,0,0,243
201306,590,0,13,608
201307,1765,0,88,1861
201308,3210,0,236,3454
201309,4994,0,466,5467
201310,7798,0,1063,8871
201311,11908,0,1949,13861
201312,16057,0,2946,19007
201401,22813,0,3803,26624
201402,29419,0,4668,34096
201403,38373,0,5757,44144
201404,48457,0,6695,55173
201405,58472,0,8325,66817
201406,69900,0,9508,79429
201407,88252,0,10983,99261
201408,116069,0,14930,131030
201409,140837,0,17720,158592
201410,175000,0,20932,195990
201411,212986,0,24316,237371
201412,249276,0,28321,277669
201501,292698,0,32550,325344
201502,329760,0,36827,366688
201503,361618,0,40585,402311
201504,390900,0,44836,435854
201505,416152,0,48308,464579
201506,444561,0,51988,496682
201507,470544,0,55296,525981
201508,492028,0,58141,550309
201509,518311,0,61377,579847
201510,544710,0,64490,609374
201511,571209,0,67960,639353
201512,595606,0,70750,666541
201601,620235,0,73798,694227
201602,650800,0,78024,729030
201603,686526,0,81847,768594
201604,724218,0,86175,810638
201605,763215,0,91211,854693
201606,798262,0,96537,895098
201607,835900,0,101832,938051
201608,878565,0,105864,984771
201609,925785,0,111288,1037429
201610,973004,0,117518,1090903
201611,1017721,0,122402,1140517
201612,1056218,0,126788,1183379
201701,1098881,0,132147,1231414
201702,1137841,0,137681,1275930
201703,1182758,0,143572,1326768
201704,1215519,0,148062,1364040
201705,1255197,0,153077,1408757
201706,1292923,0,158275,1451704
201707,1327883,0,163139,1491553
201708,1360553,0,166649,1527767
201709,1391348,0,170254,1562194
201710,1430150,0,175437,1606213
201711,1467013,0,178922,1646588
201712,1486025,0,180738,1667449
201801,1516660,0,183476,1700827
201802,1539889,0,185806,1726417
201803,1565855,0,188672,1755272
201804,1592166,0,191027,1783968
201805,1621339,0,195053,1817208
201806,1651849,0,198697,1851379
201807,1682034,0,201869,1884766
201808,1715587,0,205652,1922151
201809,1746760,0,210061,1957783
201810,1774153,0,213747,1988915
201811,1797151,0,216556,2014765
201812,1809648,0,217469,2028222
201901,1829033,0,220043,2050171
201902,1855572,0,223173,2079864
201903,1871879,0,225012,2098043
201904,1885330,0,226705,2113248
201905,1904813,0,228527,2134612
201906,1930015,0,231317,2162657
201907,1965920,0,235565,2202858
201908,2001513,0,239267,2242214
201909,2037469,0,244019,2282967
201910,2075890,0,248149,2325557
201911,2104311,0,251272,2357161
201912,2126117,0,254131,2381842
202001,2144097,0,256926,2402624
202002,2160834,0,258903,2421369
202003,2190196,0,263310,2455181
202004,2216647,0,266087,2484444
202005,2240990,0,268925,2511640
202006,2260797,0,271213,2533739
202007,2280294,0,273784,2555825
202008,2294543,0,275330,2571669
202009,2311869,0,277547,2591246
202010,2325329,0,278936,2606157
202011,2340621,0,280204,2622808
202012,2350023,0,281034,2633109
202101,2358073,0,281565,2641763
202102,2376502,0,283633,2662318
202103,2397172,0,285984,2685366
202104,2412685,0,287515,2702434
202105,2426320,0,288760,2717327
202106,2440219,0,289836,2732299
202107,2460317,0,292085,2754655
202108,2476700,0,293700,2772656
202109,2490410,0,295146,2787810
202110,2504639,0,296993,2803874
202111,2528320,0,299438,2830014
202112,2550803,0,302215,2855264
202201,2574618,0,305186,2882045
202202,2596709,0,307695,2906641
202203,2628830,0,310873,2941955
202204,2653885,0,313464,2969593
202205,2679933,0,316506,2998617
202206,2708163,0,319350,3029552
202207,2740387,0,322753,3064888
202208,2771792,0,326045,3098923
202209,2801824,0,329655,3131429
202210,2833782,0,333201,3165370
202211,2869576,0,337182,3202265
202212,2895698,0,340178,3224088
202301,2931522,0,342901,3253079
202302,2957027,0,345801,3271842
202303,2976147,0,350545,3283199
202304,2986324,0,353854,3286950
202305,3007276,0,359091,3300694
202306,3040675,0,366089,3327748
202307,3078316,0,371647,3358446
202308,3112503,0,379164,3386956
202309,3142818,0,385627,3408737
202310,3180555,0,391524,3437047
