age_range_top,male,female,hhld_males,hhld_females
4,126484.0,119862.0,125921.399168,119487.43125
9,148069.0,139599.0,147410.389088,139162.753125
15,186920.0,178920.0,186088.57984000002,178360.875
19,117014.0,111341.0,103761.462416,94149.94960000002
24,165352.0,161593.0,151956.503776,146720.303466
29,183432.0,179077.0,177806.87428800002,175980.221439
34,193305.0,194668.0,189613.067805,193729.50557200002
39,177108.0,183305.0,174449.43181200002,182677.546985
44,167578.0,174456.0,165566.56126600003,173862.675144
49,158314.0,166067.0,156883.791324,165536.582002
54,182860.0,198910.0,181617.64916,198225.35178000003
59,193098.0,207392.0,191912.957574,206606.399104
64,177486.0,190006.0,176250.874926,189092.451152
69,149895.0,162048.0,148622.841135,161055.780096
74,132143.0,146330.0,130764.74850999999,144934.45079
79,101727.0,120577.0,99683.508024,117987.97065599999
9000,108530.0,167358.0,102280.18261700001,149195.49615199998
