age_range_top,male,female,hhld_males,hhld_females
4,120571.0,114627.0,120034.700192,114268.790625
9,143142.0,134460.0,142505.304384,134039.81249999997
15,187641.0,178668.0,186806.372832,178109.66249999998
19,122899.0,117468.0,108979.950856,99330.94080000001
24,162897.0,159945.0,149700.388236,145223.98209
29,182486.0,174848.0,176889.88432399998,171824.353536
34,194149.0,193970.0,190440.948249,193034.87063
39,185172.0,189220.0,182392.38310799998,188572.29994
44,173430.0,181395.0,171348.31970999998,180778.075605
49,155635.0,162977.0,154228.99341,162456.451462
54,172217.0,185804.0,171046.957702,185164.462632
59,189532.0,204863.0,188368.842116,204086.978956
64,183473.0,197751.0,182196.21139299998,196800.21319199997
69,156400.0,170423.0,155072.63319999998,169379.499971
74,129570.0,143887.0,128218.5849,142514.749681
79,110300.0,128958.0,108084.2936,126189.013824
84,64211.0,86050.0,61991.54678500001,81832.17319999999
89,35195.0,54779.0,32938.15582,48508.557428
9000,15918.0,31946.0,13739.733125999997,23740.606008000006
