age_range_top,male,female,hhld_males,hhld_females
4,123599.0,117419.0,123049.231648,117052.06562499999
9,138924.0,131411.0,138306.066048,131000.340625
15,186048.0,177151.0,185220.458496,176597.403125
19,129302.0,124637.0,114657.772688,105393.0472
24,176325.0,180764.0,162040.5591,164126.842968
29,179658.0,186318.0,174148.607772,183096.00282599998
34,176733.0,186595.0,173357.576433,185695.425505
39,178096.0,187534.0,175422.600944,186892.071118
44,172290.0,183256.0,170222.00313,182632.74634399998
49,159120.0,167407.0,157682.50992,166872.302042
54,171146.0,182801.0,169983.234076,182171.798958
59,192275.0,205276.0,191095.008325,204498.414512
64,191355.0,204807.0,190023.360555,203822.287944
69,165488.0,177652.0,164083.503344,176564.23680400001
74,133614.0,147493.0,132220.40597999998,146086.359259
79,115211.0,133504.0,112896.641432,130637.40211200001
84,66223.0,87326.0,63934.002005,83045.628784
89,35374.0,54651.0,33105.677624,48395.209332
9000,16373.0,30709.0,14132.469561,22821.331931999994
