name,code,actual_revenues,modelled_ct,modelled_ctb,net_modelled,local_income_tax,fairer_bands_band_d,proportional_property_tax,revalued_housing_band_d,revalued_housing_band_d_w_fairer_bands,
Isle of Anglesey,W06000001,47361000,52226628,12143017,40083611,10.56,-334,0.715,-657,-1230,
Gwynedd,W06000002,80876000,91526993,21234221,70292772,11.75,-194,0.806,-724,-1338,
Conwy,W06000003,77458000,98259444,21617599,76641845,11.63,-400,0.844,-626,-1279,
Denbighshire,W06000004,60485000,77609531,17643127,59966404,10.82,-312,0.799,-646,-1274,
Flintshire,W06000005,101846000,126872740,25498762,101373979,9.71,-421,0.800,-618,-1251,
Wrexham,W06000006,78126000,102854029,23787719,79066310,9.77,-343,0.804,-585,-1201,
Powys,W06000023,98663000,117815834,23695574,94120260,10.94,-586,0.810,-577,-1230,
Ceredigion,W06000008,48824000,59348915,11924033,47424882,11.74,-521,0.798,-613,-1242,
Pembrokeshire,W06000009,75760000,90689497,20288362,70401136,10.33,-423,0.704,-553,-1112,
Carmarthenshire,W06000010,114741000,143708729,32714213,110994516,10.80,-255,0.745,-709,-1299,
Swansea,W06000011,141781000,181003061,44207067,136795994,10.17,-276,0.810,-631,-1243,
NeathPortTalbot,W06000012,76306000,105563746,27451999,78111747,12.34,481,0.821,-878,-1480,
Bridgend,W06000013,89623000,115540835,25542505,89998330,11.06,-155,0.842,-752,-1388,
Vale of Glamorgan,W06000014,93053000,116432146,21619069,94813077,9.07,-632,0.860,-430,-1120,
Rhondda Cynon Taf,W06000016,118005000,157648939,37208518,120440421,11.18,434,0.762,-845,-1391,
Merthyr Tydfil,W06000024,31866000,41099303,10548661,30550643,12.29,653,0.834,-950,-1525,
Caerphilly,W06000018,77173000,106864266,25755697,81108569,9.60,261,0.696,-663,-1165,
Blaenau Gwent,W06000019,33474000,46212719,12764075,33448643,12.67,1255,0.856,-993,-1557,
Torfaen,W06000020,49462000,64108591,15905998,48202594,10.63,100,0.789,-675,-1246,
Monmouthshire,W06000021,76259000,93808106,16190152,77617954,9.95,-754,0.895,-444,-1182,
Newport,W06000022,80699000,106701698,23689476,83012221,9.31,-264,0.763,-543,-1111,
Cardiff,W06000015,202435000,267626401,54258078,213368323,9.04,-531,0.864,-385,-1022,
