Housing > Households > Projections > National > 2018-based > Household projections by household type and year,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household projections by household type and year,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area: Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant: Principal,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
Households ,all hhlds,1358754.930664,1365186.371826,1371134.142578,1377214.471924,1383778.493896,1390084.253906,1396286.046631,1402190.273926,1407972.495605,1413511.00415,1418807.441406,1423987.960449,1428982.153076,1433960.435303,1438802.980469,1443459.45166,1447958.288574,1452447.027344,1456938.10498,1461263.546387,1465401.651367,1469513.538574,1473705.47998,1477924.473145,1482094.081787,1486247.953613
Households ,1 person ,434567.15625,438978.0625,442896.875,446874.3125,451781.34375,456315.625,460529,464422.8125,468153.75,471780.78125,475480.78125,479172.28125,482618.0625,486039.9375,490105.34375,493892.0625,497385.15625,500737.0625,504046.25,507228.875,510402.21875,513580.5,516591.75,519671.625,522872.34375,526069.3125
,2 person (No children) ,424143.21875,426157.65625,427721.53125,429334.84375,430723.09375,432153.5625,433867.5625,435579.0625,437371.1875,439069.78125,440375.15625,441680.03125,443059.90625,444453.03125,444905.34375,445323.6875,445830.34375,446478.125,447077.625,447461.25,447552.34375,447618.96875,447969.40625,448175.75,448094.0625,447944.21875
,"2 person (1 adult, 1 child) ",54107.84375,54793.574219,55523.460938,56285.53125,57051.449219,57813.976563,58551.238281,59236.03125,59894.710938,60500.925781,61114.101563,61704.609375,62247.703125,62796.015625,63402.816406,64037.4375,64669.0625,65267.28125,65921.734375,66622.257813,67331.71875,68028.984375,68731.890625,69444.851563,70169.265625,70905.976563
,3 person (No children) ,91731.070313,91532.929688,91325.1875,91082.53125,90734.085938,90427.5625,90160.8125,89995.617188,89850.085938,89731.6875,89583.46875,89437.640625,89423.398438,89376.289063,89266.65625,89170.585938,89108.164063,89144.601563,89117.90625,89080.34375,89042.1875,89007.578125,88970.046875,88950.601563,88908.078125,88855.914063
,"3 person (2 adults, 1 child) ",85876.039063,85709.398438,85612.328125,85587.0625,85569.242188,85559.835938,85540.257813,85418.195313,85283.5,85142.25,85031.539063,84882.90625,84695.554688,84510.570313,84392.679688,84326.671875,84255.226563,84179.023438,84183.9375,84248.40625,84347.382813,84418.171875,84488.320313,84595.726563,84735.890625,84852.765625
,"3 person (1 adult, 2 children) ",25367.427734,25369.900391,25393.703125,25433.101563,25458.441406,25459.564453,25429.546875,25372.822266,25295.878906,25187.568359,25092.210938,24988.396484,24857.505859,24735.097656,24647.310547,24577.945313,24515.748047,24441.832031,24399.134766,24383.382813,24382.40625,24375.792969,24379.916016,24395.601563,24417.169922,24453.392578
,4 person (No children) ,33218.265625,33306.765625,33414.679688,33480.5,33536.929688,33624.691406,33745.5,33977.035156,34221.523438,34519.53125,34820.269531,35143.472656,35555.335938,35950.941406,36318.941406,36674.789063,37024.921875,37399.96875,37726.269531,38027.304688,38301.09375,38573.398438,38802.304688,39013.5,39217.144531,39405.238281
,"4 person (2+ adults, 1+ children) ",120722.335938,120412.421875,120286.546875,120191.515625,120048.570313,119909.257813,119712.453125,119471.398438,119209.023438,118896.546875,118624.773438,118305.96875,117873.007813,117462.695313,117136.445313,116840.90625,116557.484375,116189.21875,115873.351563,115627.992188,115440.578125,115261.46875,115073.765625,114923.148438,114829.671875,114783.765625
,"4 person (1 adult, 3 children) ",9206.446289,9253.597656,9302.821289,9352.691406,9396.637695,9425.849609,9438.22168,9436.943359,9428.058594,9402.832031,9379.448242,9355.073242,9323.792969,9294.087891,9274.15332,9263.647461,9258.669922,9254.801758,9262.650391,9280.385742,9309.376953,9338.175781,9375.543945,9419.658203,9467.930664,9519.538086
