year,m_u16,m_age16_64,m_age65_plus,f_u16,f_age16_64,f_age65_plus,v_1_adult,v_2_adults,v_1_adult_1_plus_children,v_3_plus_adults,v_2_plus_adults_1_plus_children
2020,288221,966535,308768,274509,971731,359822,442896.875,427721.53125,93794.09375,136135.666016,270585.976563
2021,286546,969962,312031,272475,975264,363800,446874.3125,429334.84375,94668.812744,136040.166992,270296.335938
2022,284270,973005,315857,270190,978574,368074,451781.34375,430723.09375,95521.350342,135838.57714900002,269914.128906
2023,281653,975488,320436,267593,981066,373410,456315.625,432153.5625,96324.793945,135747.022461,269543.25
2024,278384,978059,324965,264291,983742,378938,460529.0,433867.5625,97048.781006,135762.484375,269078.21875
2025,275287,980141,329487,261427,985560,384662,464422.8125,435579.0625,97676.654785,136062.142578,268449.601563
2026,271977,981954,334430,258027,987160,391052,468153.75,437371.1875,98245.398926,136421.11621200002,267781.042969
2027,268114,983235,340083,254265,988392,397802,471780.78125,439069.78125,98708.320557,136913.128906,267038.992188
2028,264568,984356,345426,250698,989021,404771,475480.78125,440375.15625,99195.420898,137367.614258,266388.46875
2029,261524,984457,351092,247696,988288,412283,479172.28125,441680.03125,99651.194824,137841.800781,265642.652344
2030,258700,984261,356612,245068,987046,419695,482618.0625,443059.90625,100024.741943,138564.782228,264714.660156
2031,256001,984595,361265,242463,986330,426303,486039.9375,444453.03125,100414.890381,139227.146485,263825.429688
2032,253358,984824,365767,239698,985806,432634,490105.34375,444905.34375,100910.854492,139754.860351,263126.578125
2033,251192,985148,369444,237464,985036,438379,493892.0625,445323.6875,101468.939941,140229.781251,262544.980469
2034,249319,984848,373225,235518,983685,444130,497385.15625,445830.34375,102039.827637,140714.503907,261988.457031
2035,248054,984892,375864,234480,982211,448869,500737.0625,446478.125,102569.322266,141325.330079,261337.1875
2036,247627,983577,378911,233929,979566,454137,504046.25,447077.625,103201.98584,141761.990234,260850.253906
2037,248157,982134,381074,234435,977177,457971,507228.875,447461.25,103922.553223,142124.559571,260526.308594
2038,248466,982368,381746,234723,976298,460418,510402.21875,447552.34375,104682.141602,142447.306641,260317.640625
2039,248829,983685,381249,235064,976620,461504,513580.5,447618.96875,105424.183105,142789.128907,260100.757813
2040,249101,985567,380238,235318,977813,461721,516591.75,447969.40625,106194.409668,143075.773438,259874.140625
