
"benefit claimants - disability living allowance"
"ONS Crown Copyright Reserved [from Nomis on 22 June 2021]"
"Analysis   :","standard"
"Sex        :","Total"
"Item Name  :","all entitled cases"
"Age        :","Total"
"Duration   :","Total"
"condition  :","any disabling condition"

"Date","Great Britain","England","Wales","Scotland","England and Wales","Great Britain and abroad or unknown","Overseas (outside GB) or unknown"
 ,"K03000001","E92000001","W92000004","S92000003","K04000001","8","13"

"May 2002",2441580,1970930,200570,270070,2171500,2443810,2230
"August 2002",2471650,1995090,203170,273380,2198270,2473960,2310
"November 2002",2505990,2022950,205830,277210,2228780,2508340,2350
"February 2003",2533440,2045140,208010,280290,2253150,2535780,2340
"May 2003",2564490,2070170,210410,283910,2280580,2566820,2330
"August 2003",2590960,2091820,212520,286610,2304340,2593270,2320
"November 2003",2619120,2115140,214670,289310,2329810,2621470,2350
"February 2004",2642050,2134250,216190,291610,2350440,2644500,2450
"May 2004",2660480,2149180,217600,293700,2366780,2662830,2350
"August 2004",2690470,2173470,219690,297310,2393160,2692910,2440
"November 2004",2714310,2192990,221440,299880,2414430,2716870,2560
"February 2005",2730480,2206380,222280,301810,2428670,2733120,2650
"May 2005",2748390,2221050,223350,303990,2444410,2750970,2580
"August 2005",2768160,2237510,224590,306050,2462110,2770790,2630
"November 2005",2776330,2244660,225200,306470,2469860,2778920,2590
"February 2006",2804230,2267820,226790,309630,2494610,2806860,2630
"May 2006",2818230,2279700,227530,311000,2507230,2820860,2630
"August 2006",2833670,2292910,228110,312650,2521020,2836320,2660
"November 2006",2865290,2319980,229950,315350,2549930,2867970,2680
"February 2007",2880410,2333570,230430,316410,2564000,2883070,2660
"May 2007",2897670,2348280,231300,318090,2579580,2904750,7080
"August 2007",2930600,2376320,232950,321330,2609270,2933180,2580
"November 2007",2955130,2397370,234290,323470,2631660,2957750,2620
"February 2008",2966610,2407610,234650,324350,2642260,2969340,2730
"May 2008",2994530,2431180,236040,327310,2667220,2997380,2850
"August 2008",3020700,2453320,237460,329930,2690770,3023770,3070
"November 2008",3041260,2471070,238350,331830,2709420,3044550,3290
"February 2009",3065860,2492040,239390,334430,2731420,3069140,3280
"May 2009",3093050,2515220,240550,337270,2755770,3096390,3350
"August 2009",3119290,2537590,241780,339920,2779370,3122750,3450
"November 2009",3142500,2558120,242680,341700,2800800,3145970,3470
"February 2010",3161410,2574630,243480,343300,2818120,3164920,3500
"May 2010",3181440,2592080,244110,345240,2836190,3185050,3610
"August 2010",3200540,2609180,244740,346620,2853910,3204280,3740
"November 2010",3205800,2615100,244540,346160,2859640,3209590,3790
"February 2011",3216450,2625220,244560,346670,2869780,3220360,3900
"May 2011",3227140,2635110,244800,347230,2879910,3231330,4180
"August 2011",3246880,2652740,245560,348590,2898300,3251180,4300
"November 2011",3251140,2657520,245190,348430,2902710,3255540,4410
"February 2012",3267910,2672280,245780,349850,2918060,3272350,4450
"May 2012",3282660,2685960,245980,350720,2931940,3287290,4640
"August 2012",3296380,2698340,246300,351740,2944630,3301050,4680
"November 2012",3306910,2708310,246440,352150,2954760,3311680,4770
"February 2013",3323350,2723440,246920,352990,2970360,3328030,4690
"May 2013",3329440,2729010,246830,353610,2975840,3334160,4720
"August 2013",3316700,2719120,245770,351800,2964900,3321440,4740
"November 2013",3294510,2701510,244100,348910,2945600,3299180,4670
"February 2014",3272390,2684020,242470,345900,2926490,3276940,4550
"May 2014",3255430,2671010,241050,343370,2912050,3260010,4580
"August 2014",3233730,2654480,238680,340570,2893160,3238340,4610
"November 2014",3202350,2631920,232800,337630,2864720,3206880,4530
"February 2015",3152520,2595370,224030,333120,2819400,3157000,4490
"May 2015",3102340,2559230,215670,327440,2774900,3106850,4510
"August 2015",3044570,2515290,210380,318890,2725680,3049080,4510
"November 2015",2986100,2467980,206150,311970,2674130,2995750,9650
"February 2016",2921630,2414400,201820,305410,2616220,2926110,4480
"May 2016",2831190,2342730,192390,296070,2535120,2835670,4480
"August 2016",2696120,2239140,176200,280780,2415340,2700560,4440
"November 2016",2557130,2125300,164330,267500,2289630,2561580,4450
"February 2017",2428030,2016160,156630,255240,2172790,2432370,4340
"May 2017",2287520,1900460,147320,239740,2047780,2291770,4250
"August 2017",2145020,1782540,138600,223880,1921140,2149160,4140
"November 2017",2073060,1722120,133660,217280,1855780,2077080,4020
"February 2018",1985530,1647260,127600,210670,1774860,1989440,3910
"May 2018",1914570,1585200,123620,205760,1708810,1918810,4240
"August 2018",1806120,1489400,119790,196930,1609190,1810240,4110
"November 2018",1731410,1425330,117660,188410,1542990,1735440,4040



"","There may be a discrepancy between any sub-national November 2015 data"
"","reproduced in this table and the equivalent statistics produced by the DWP"
"","tabulation tool. The differences are small, at most 3% at regional level."
"",""

"","DWP data will soon be discontinued on Nomis."
"","See http://www.nomisweb.co.uk/articles/1161.aspx for more info."
"",""

