fy,year,bereavement_allowance_or_widowed_parents_allowance_or_bereavement,state_pension,pip_daily_living_enhanced,pip_daily_living_standard,pip_mobility_enhanced,pip_mobility_standard,carers_allowance,carers_allowance_adult,carers_allowance_first_child,carers_allowance_subsequent_children,attendance_allowance_high,attendance_allowance_low,dla_care_high,dla_care_mid,dla_care_low,dla_mobility_high,dla_mobility_low,esa_u25,esa_25plus,esa_work_related,esa_support
09/04/1990,1990,46.9,46.9,,,,,28.2,16.85,9.65,9.65,37.55,25.05,,,,,,,,,
08/04/1991,1991,52,52,,,,,31.25,18.7,10.7,10.7,41.65,27.8,,,,,,,,,
06/04/1992,1992,54.15,54.15,,,,,32.55,19.45,10.85,10.85,43.35,28.95,43.35,28.95,11.55,30.3,11.55,,,,
12/04/1993,1993,56.1,56.1,,,,,33.7,20.15,9.8,10.95,44.9,30,44.9,30,11.95,31.4,11.95,,,,
11/04/1994,1994,57.6,57.6,,,,,34.5,20.65,9.8,11,45.7,30.55,45.7,30.55,12.15,31.95,12.15,,,,
10/04/1995,1995,58.85,58.85,,,,,35.25,21.1,9.85,11.05,46.7,31.2,46.7,31.2,12.4,32.65,12.4,,,,
08/04/1996,1996,61.15,61.15,,,,,36.6,21.9,9.9,11.15,48.5,32.4,48.5,32.4,12.9,33.9,12.9,,,,
07/04/1997,1997,62.45,62.45,,,,,37.35,22.35,9.9,11.2,49.5,33.1,49.5,33.1,13.5,34.6,13.15,,,,
06/04/1998,1998,64,64.7,,,,,38.7,23.15,9.9,11.3,51.3,34.3,51.3,34.3,13.6,35.85,13.6,,,,
12/04/1999,1999,66.75,66.75,,,,,39.95,23.9,9.9,11.35,52.95,35.4,52.95,35.4,14.05,37,14.05,,,,
10/04/2000,2000,67.5,67.5,,,,,40.4,24.15,9.85,11.35,53.55,35.8,53.55,35.8,14.2,37.4,14.2,,,,
09/04/2001,2001,72.5,72.5,,,,,41.75,24.95,9.7,11.35,55.3,37,55.3,37,14.65,38.65,14.65,,,,
11/04/2002,2002,75.5,75.5,,,,,42.45,25.35,9.65,11.35,56.25,37.65,56.25,37.65,14.9,39.3,14.9,,,,
07/04/2003,2003,77.45,77.45,,,,,43.15,25.8,9.55,11.35,57.2,38.3,57.2,38.3,15.15,39.95,15.15,,,,
05/04/2004,2004,79.6,79.6,,,,,44.35,26.5,9.4,11.35,58.8,39.35,58.8,39.35,15.55,41.05,15.55,,,,
11/04/2005,2005,82.05,82.05,,,,,45.7,27.3,9.4,11.35,60.6,40.55,60.6,40.55,16.05,42.3,16.05,,,,
10/04/2006,2006,84.25,84.25,,,,,46.95,28.05,9.25,11.35,62.25,41.65,62.25,41.65,16.5,43.45,16.5,,,,
09/04/2007,2007,87.3,87.3,,,,,48.65,29.05,9,11.35,64.5,43.15,64.5,43.15,17.1,45,17.1,,,,
08/04/2008,2008,90.7,90.7,,,,,50.55,30.2,8.75,11.35,67,44.85,67,44.85,17.75,46.75,17.75,,,,
06/04/2009,2009,95.25,95.25,,,,,53.1,31.7,8.2,11.35,70.35,47.1,70.35,47.1,18.65,49.1,18.65,50.95,64.3,25.5,30.85
12/04/2010,2010,97.65,97.65,,,,,53.9,31.7,8.1,11.35,71.4,47.8,71.4,47.8,18.95,49.85,18.95,51.85,65.45,25.95,31.4
11/04/2011,2011,100.7,102.15,,,,,55.55,32.7,8.1,11.35,73.6,49.3,73.6,49.3,19.55,51.4,19.55,53.45,67.5,26.75,32.35
09/04/2012,2012,105.95,107.45,,,,,58.45,34.4,8.1,11.35,77.45,51.85,77.45,51.85,20.55,54.05,20.55,56.25,71,28.15,34.05
08/04/2013,2013,108.3,110.15,81.3,54.45,56.75,21.55,59.75,35.15,8.1,11.35,79.15,53,79.15,53,21,55.25,21,56.8,71.7,28.45,34.8
07/04/2014,2014,111.2,113.1,81.3,54.45,56.76,21.55,61.35,36.1,8.05,11.35,81.3,54.45,81.3,54.45,21.55,56.75,21.55,57.35,72.4,28.75,35.75
06/04/2015,2015,112.55,115.95,82.3,55.1,57.45,21.8,62.1,36.55,8,11.35,82.3,55.1,82.3,55.1,21.8,57.45,21.8,57.9,73.1,29.05,36.2
11/04/2016,2016,112.55,119.3,82.3,55.1,57.45,21.8,62.1,36.55,8,11.35,82.3,55.1,82.3,55.1,21.8,57.45,21.8,57.9,73.1,29.05,36.2
10/04/2017,2017,113.7,122.3,83.1,55.65,58,22,62.7,36.9,8,11.35,83.1,55.65,83.1,55.65,22,58,22,57.9,73.1,29.05,36.55
09/04/2018,2018,117.1,125.95,85.6,57.3,59.75,22.65,64.6,38,8,11.35,85.6,57.3,85.6,57.3,22.65,59.75,22.65,57.9,73.1,29.05,37.65
08/04/2019,2019,119.9,129.2,87.65,58.7,61.2,23.2,66.15,38.9,8,11.35,87.65,58.7,87.65,58.7,23.2,61.2,23.2,57.9,73.1,29.05,38.55
06/04/2020,2020,121.95,134.25,89.15,59.7,62.25,23.6,67.25,0,8,11.35,89.15,59.7,89.15,59.7,23.6,62.25,23.6,58.9,74.35,29.55,39.2
06/04/2021,2021,122.55,137.6,89.6,60,62.55,23.7,67.6,0,8,11.35,89.6,60,89.6,60,23.7,62.55,23.7,59.2,74.7,29.7,39.4
